I, [2025-03-10T10:48:31.627146 #34860]  INFO -- Kitchen: -----> Starting Test Kitchen (v3.5.1)
E, [2025-03-10T10:48:31.627307 #34860] ERROR -- Kitchen: ------Exception-------
E, [2025-03-10T10:48:31.627321 #34860] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2025-03-10T10:48:31.627328 #34860] ERROR -- Kitchen: Message: Kitchen YAML file /home/ubuntu/kitchen-kvm-test/kitchen-kvm-custom/kitchen.yml does not exist.
E, [2025-03-10T10:48:31.627335 #34860] ERROR -- Kitchen: ----------------------
E, [2025-03-10T10:48:31.627340 #34860] ERROR -- Kitchen: ------Backtrace-------
E, [2025-03-10T10:48:31.627346 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2025-03-10T10:48:31.627352 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/config.rb:153:in `data'
E, [2025-03-10T10:48:31.627358 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/config.rb:131:in `suites'
E, [2025-03-10T10:48:31.627364 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/config.rb:183:in `filter_instances'
E, [2025-03-10T10:48:31.627370 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/config.rb:142:in `build_instances'
E, [2025-03-10T10:48:31.627375 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/config.rb:116:in `instances'
E, [2025-03-10T10:48:31.627381 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/command.rb:109:in `filtered_instances'
E, [2025-03-10T10:48:31.627387 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/command.rb:139:in `parse_subcommand'
E, [2025-03-10T10:48:31.627393 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/command/action.rb:34:in `block in call'
E, [2025-03-10T10:48:31.627398 #34860] ERROR -- Kitchen: /usr/lib/ruby/3.0.0/benchmark.rb:293:in `measure'
E, [2025-03-10T10:48:31.627404 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/command/action.rb:33:in `call'
E, [2025-03-10T10:48:31.627410 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/cli.rb:52:in `perform'
E, [2025-03-10T10:48:31.627416 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2025-03-10T10:48:31.627422 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/thor-1.3.2/lib/thor/command.rb:28:in `run'
E, [2025-03-10T10:48:31.627427 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/thor-1.3.2/lib/thor/invocation.rb:127:in `invoke_command'
E, [2025-03-10T10:48:31.627433 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/thor-1.3.2/lib/thor.rb:538:in `dispatch'
E, [2025-03-10T10:48:31.627439 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/thor-1.3.2/lib/thor/base.rb:584:in `start'
E, [2025-03-10T10:48:31.627445 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/bin/kitchen:11:in `block in <top (required)>'
E, [2025-03-10T10:48:31.627451 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/lib/kitchen/errors.rb:183:in `with_friendly_errors'
E, [2025-03-10T10:48:31.627457 #34860] ERROR -- Kitchen: /var/lib/gems/3.0.0/gems/test-kitchen-3.5.1/bin/kitchen:11:in `<top (required)>'
E, [2025-03-10T10:48:31.627463 #34860] ERROR -- Kitchen: /usr/local/bin/kitchen:25:in `load'
E, [2025-03-10T10:48:31.627468 #34860] ERROR -- Kitchen: /usr/local/bin/kitchen:25:in `<main>'
E, [2025-03-10T10:48:31.627474 #34860] ERROR -- Kitchen: ----End Backtrace-----
